en-US,POS,Stage,Tag
I,pronoun,Stage 1,AAC Core
you,pronoun,Stage 1,AAC Core
want,verb,Stage 1,AAC Core
go,verb,Stage 1,AAC Core
good,adj,Stage 1,AAC Core
no,other,Stage 1,AAC Core
eat,verb,Stage 1,AAC Core
drink,verb,Stage 1,AAC Core
here,other,Stage 1,AAC Core
this,pronoun,Stage 1,AAC Core
more,adj,Stage 1,AAC Core
finish,verb,Stage 1,AAC Core
help,verb,Stage 1,AAC Core
look,verb,Stage 1,AAC Core
come,verb,Stage 1,AAC Core
mine,pronoun,Stage 1,AAC Core
it,pronoun,Stage 1,AAC Core
big,adj,Stage 1,AAC Core
small,adj,Stage 1,AAC Core
happy,adj,Stage 1,AAC Core
pain,noun,Stage 1,AAC Core
where,other,Stage 1,AAC Core
what,pronoun,Stage 1,AAC Core
who,pronoun,Stage 1,AAC Core
on,other,Stage 1,AAC Core
under,other,Stage 1,AAC Core
please,other,Stage 1,AAC Core
thanks,other,Stage 1,AAC Core
now,other,Stage 1,AAC Core
wait,verb,Stage 1,AAC Core
give,verb,Stage 1,AAC Core
stop,verb,Stage 1,AAC Core
play,verb,Stage 1,AAC Core
sleep,verb,Stage 1,AAC Core
toilet,noun,Stage 1,AAC Core
water,noun,Stage 1,AAC Core
food,noun,Stage 1,AAC Core
man,noun,Stage 1,AAC Core
woman,noun,Stage 1,AAC Core
child,noun,Stage 1,AAC Core
he,pronoun,Stage 2,Swadesh
we,pronoun,Stage 2,Swadesh
you,pronoun,Stage 2,Swadesh
they,pronoun,Stage 2,Swadesh
that,pronoun,Stage 2,Swadesh
there,other,Stage 2,Swadesh
when,other,Stage 2,Swadesh
how,other,Stage 2,Swadesh
all,adj,Stage 2,Swadesh
many,adj,Stage 2,Swadesh
some,adj,Stage 2,Swadesh
few,adj,Stage 2,Swadesh
other,adj,Stage 2,Swadesh
one,adj,Stage 2,Swadesh
two,adj,Stage 2,Swadesh
three,adj,Stage 2,Swadesh
four,adj,Stage 2,Swadesh
five,adj,Stage 2,Swadesh
long,adj,Stage 2,Swadesh
wide,adj,Stage 2,Swadesh
thick,adj,Stage 2,Swadesh
heavy,adj,Stage 2,Swadesh
short,adj,Stage 2,Swadesh
narrow,adj,Stage 2,Swadesh
thin,adj,Stage 2,Swadesh
wife,noun,Stage 2,Swadesh
husband,noun,Stage 2,Swadesh
mother,noun,Stage 2,Swadesh
father,noun,Stage 2,Swadesh
animal,noun,Stage 2,Swadesh
fish,noun,Stage 2,Swadesh
bird,noun,Stage 2,Swadesh
dog,noun,Stage 2,Swadesh
louse,noun,Stage 2,Swadesh
